Instance type,vCPU,Memory
db.t2.micro,1,1
db.t2.small,1,2
db.t2.medium,2,4
db.t2.large,2,8
db.t2.xlarge,4,16
db.t2.2xlarge,8,32
db.t3.micro,2,1
db.t3.small,2,2
db.t3.medum,2,4
db.t3.large,2,8
db.t3.xlarge,4,16
db.t3.2xlarge,8,32
db.t4g.micro,2,1
db.t4g.small,2,2
db.t4g.medium,2,4
db.t4g.large,2,8
db.t4g.xlarge,4,16
db.t4g.2xlarge,8,32
db.m4.large,2,8
db.m4.xlarge,4,16
db.m4.2xlarge,8,32
db.m4.4xlarge,16,64
db.m4.10xlarge,40,160
db.m4.16xlarge,64,256
db.m5d.large,2,8
db.m5d.xlarge,4,16
db.m5d.2xlarge,8,32
db.m5d.4xlarge,16,64
db.m5d.8x.large,32,128
db.m5d.12xlarge,48,192
db.m5d.16xlarge,64,256
db.m5d.24xlarge,96,384
db.m5.large,2,8
db.m5.xlarge,4,16
db.m5.2xlarge,8,32
db.m5.4xlarge,16,64
db.m5.8xlarge,32,128
db.m5.16xlarge,48,192
db.m5.12xlarge,64,256
db.m5.24xlarge,96,384
db.m6g.large,2,8
db.m6g.xlarge,4,16
db.m6g.2xlarge,8,32
db.m6g.4xlarge,16,64
db.m6g.8xlarge,32,128
db.m6g.12xlarge,48,192
db.m6g.16xlarge,64,265
db.r4.large,2,15.25
db.r4.xlarge,4,30.5
db.r4.2xlarge,8,61
db.r4.4xlarge,16,122
db.r4.8xlarge,32,244
db.r4.16xlarge,64,488
db.r5d.large,2,16
db.r5d.xlarge,4,32
db.r5d.2xlarge,8,64
db.r5d.4xlarge,16,128
db.r5d.8xlarge,32,256
db.r5d.12xlarge,48,384
db.r5d.16xlarge,64,512
db.r5d.24xlarge,96,768
db.r5b.large,2,16
db.r5g.xlarge,4,32
db.r5g.2xlarge,8,64
db.r5g.4xlarge,16,128
db.r5g.8xlarge,32,256
db.r5g.12xlarge,48,384
db.r5g.16xlarge,64,512
db.r5g.24xlarge,96,768
db.r6g.large,2,16
db.r6g.xlarge,4,32
db.r6g.2xlarge,8,64
db.r6g.4xlarge,16,128
db.r6g.8xlarge,32,256
db.r6g.12xlarge,48,384
db.r6g.16xlarge,64,512
b.x16xlarge,64 (32 cores),976
db.x1.32xlarge,128 (64 cores),1952
db.x1e.xlarge,4,122
db.x1e.2xlarge,8,244
db.x1e.4xlarge,16,488
db.x1e.8xlarge,32,976
db.x1e.16xlarge,64,1952
db.x1e.32xlarge,128,3904
db.x2g.medium,1,16
db.x2g.large,2,32
db.x2g.xlarge,4,64
db.x2g.2xlarge,8,128
db.x2g.4xlarge,16,256
db.x2g.8xlarge,32,512
db.x2g.12xlarge,48,768
db.x2g.16xlarge,64,1024
db.z1d.large,2,16
db.z1d.xlarge,4,32
db.z1d.2xlarge,8,64
db.z1d.3xlarge,12,96
db.z1d.6xlarge,24,192
db.z1d.12xlarge,48,384
